date,stock_ret
2022-07-05,15.265011134103682
2022-07-06,15.065147849343749
2022-07-07,15.236644957746847
2022-07-08,15.426491549559797
2022-07-11,15.334655036800427
2022-07-12,15.378406841425342
2022-07-13,15.548143082052741
2022-07-14,15.360091153111982
2022-07-15,15.244082095661156
2022-07-18,15.581862262230691
2022-07-19,15.638584103327961
2022-07-20,16.01827916277676
2022-07-21,15.708160159900201
2022-07-22,15.78882274175867
2022-07-25,15.656591685580267
2022-07-26,15.628377881252206
2022-07-27,15.645541656657203
2022-07-28,15.593755417343676
2022-07-29,15.602064988012257
2022-08-01,15.65637008632
2022-08-02,15.583681364795433
2022-08-03,15.478291897833305
2022-08-04,15.505972544428923
2022-08-05,15.63471050240036
2022-08-08,15.770363537844425
2022-08-09,15.828643199198387
2022-08-10,15.881376947534767
2022-08-11,16.015683908753928
2022-08-12,16.036499037303226
2022-08-15,15.912363228571405
2022-08-16,15.857760452294961
2022-08-17,16.016732371429224
2022-08-18,16.005978621417302
2022-08-19,16.251566690628767
2022-08-22,16.406904269449157
2022-08-23,16.75141066696881
2022-08-24,16.56982261259307
2022-08-25,17.165704884317066
2022-08-26,17.197371043991843
2022-08-29,17.338794381669768
2022-08-30,17.002010615004043
2022-08-31,16.95277865727728
2022-09-01,16.83186499951587
2022-09-02,16.85707710991457
2022-09-05,17.139622587465922
2022-09-06,17.279949491432365
2022-09-07,17.28374055308824
2022-09-08,17.329687291771688
2022-09-09,17.39670180128892
2022-09-13,17.256659639753114
2022-09-14,17.09763299287453
2022-09-15,17.13379046079617
2022-09-16,16.666106099228543
2022-09-19,16.736673727432308
2022-09-20,16.53967242486589
2022-09-21,16.607775096652876
2022-09-22,16.66150674442846
2022-09-23,16.85292694135442
2022-09-26,16.528081511611223
2022-09-27,16.848103676136716
2022-09-28,16.66975783395541
2022-09-29,16.594845807575467
2022-09-30,16.47386246418871
2022-10-10,16.554339517775983
2022-10-11,16.518995410646667
2022-10-12,16.52146666264543
2022-10-13,16.334189380026352
2022-10-14,16.54367287687031
2022-10-17,16.586944100942933
2022-10-18,16.726384669912964
2022-10-19,16.566359626951
2022-10-20,16.602483792366233
2022-10-21,16.87172661175902
2022-10-24,16.771101508381616
2022-10-25,16.77322636655154
2022-10-26,17.223276202112217
2022-10-27,17.68413032422059
2022-10-28,17.320840191804937
2022-10-31,17.585047808555252
2022-11-01,17.93044105472942
2022-11-02,18.141333395112984
2022-11-03,17.827557609762874
2022-11-04,18.021245725156653
2022-11-07,17.99191374021553
2022-11-08,17.868716645408735
2022-11-09,17.94261034019987
2022-11-10,17.969648453665666
2022-11-11,18.593228151847924
2022-11-14,18.33641474557333
2022-11-15,18.622874558782613
2022-11-16,18.509791618966933
2022-11-17,18.57708638113166
2022-11-18,18.36979744053291
2022-11-21,18.157959989227404
2022-11-22,18.229697007876844
2022-11-23,18.135962734570942
2022-11-24,18.112641680870492
2022-11-25,18.417117855983278
2022-11-28,18.17142815077465
2022-11-29,18.64463341747349
2022-11-30,18.71871042952268
2022-12-01,18.620592382367697
2022-12-02,18.545917862281364
2022-12-05,19.146348115986505
2022-12-06,19.181861095073817
2022-12-07,19.487820970236353
2022-12-08,19.672025446059262
2022-12-09,19.52583907377956
2022-12-12,19.571214687800456
2022-12-13,19.81850663071532
2022-12-14,19.899162414542857
2022-12-15,19.825342830787715
2022-12-16,19.983145863752675
2022-12-19,19.618437609685493
2022-12-20,19.2630057401557
2022-12-21,19.486875592914924
2022-12-22,19.39263202399574
2022-12-23,19.313766018144218
2022-12-26,19.299706799365143
2022-12-27,19.239133009197655
2022-12-28,19.064635553895588
2022-12-29,18.948355628857684
2022-12-30,19.21900897819398
2023-01-03,19.413157094965097
2023-01-04,19.487496051741285
2023-01-05,19.552074618204703
2023-01-06,19.610269716002186
2023-01-09,19.690192671294692
2023-01-10,19.669605960958577
2023-01-11,19.736941915110105
2023-01-12,19.95191531255476
2023-01-13,20.085817637251424
2023-01-16,20.528092245536833
2023-01-17,20.64584155019897
2023-01-18,20.69972363199519
2023-01-19,21.135958401406405
2023-01-20,21.349117118120656
2023-01-30,21.27387911456868
2023-01-31,21.26967707505303
2023-02-01,21.613410217974817
2023-02-02,21.58066918477817
2023-02-03,21.394126245506243
2023-02-06,21.12142864655129
2023-02-07,21.255412418538764
2023-02-08,21.238625129600752
2023-02-09,21.582381069797737
2023-02-10,21.70008014969686
2023-02-13,21.95384858867945
2023-02-14,22.015951315040915
2023-02-15,22.116327325635826
2023-02-16,22.05110371216579
2023-02-17,21.994913948958025
2023-02-20,22.651186844801337
2023-02-21,22.96721039256114
2023-02-22,22.771395326748795
2023-02-23,22.723917901331525
2023-02-24,22.6262972475
2023-02-27,22.56051383144693
2023-02-28,22.840166097958235
2023-03-01,23.094692458610282
2023-03-02,23.293141155785623
2023-03-03,23.78715245003119
2023-03-06,23.66934658910965
2023-03-07,23.760501657428293
2023-03-08,23.84921740353497
2023-03-09,23.97436035193279
2023-03-10,23.68496163307501
2023-03-13,24.26324948487469
2023-03-14,24.409123504662197
2023-03-15,24.563610580047122
2023-03-16,24.5858406359469
2023-03-17,24.83697462082355
2023-03-20,25.01983674070472
2023-03-21,24.799262517344665
2023-03-22,24.840772792548282
2023-03-23,25.06524613478447
2023-03-24,24.833785296303635
2023-03-27,24.7875979270076
2023-03-28,24.720772131412044
2023-03-29,24.76606095281029
2023-03-30,25.067185296571687
2023-03-31,25.790416075493084
2023-04-03,26.269022740989463
2023-04-04,26.211772804671472
2023-04-06,26.785449625743688
2023-04-07,26.858816601264813
2023-04-10,26.56130149822584
2023-04-11,26.896951484063123
2023-04-12,27.206172023762488
2023-04-13,27.561248315387488
2023-04-14,27.801244756127343
2023-04-17,28.459659857887477
2023-04-18,28.523051971488
2023-04-19,28.426084396251643
2023-04-20,28.497232876297584
2023-04-21,28.2219906667375
2023-04-24,28.10682856975383
2023-04-25,28.393206622675255
2023-04-26,28.290669345526315
2023-04-27,28.723437886157992
2023-04-28,28.80906116750929
2023-05-04,29.73375074702016
2023-05-05,30.10108388437242
2023-05-08,31.224243137812003
2023-05-09,30.795164082729674
2023-05-10,30.133355240559165
2023-05-11,30.121400243994294
2023-05-12,29.984306220939835
2023-05-15,30.14199261606614
2023-05-16,30.077882203757035
2023-05-17,30.15458444658521
2023-05-18,30.187935001418815
2023-05-19,29.918704477027386
2023-05-22,30.356227208025032
2023-05-23,29.89272995119454
2023-05-24,29.60079506339096
2023-05-25,29.60626021486729
2023-05-26,29.50666235850718
2023-05-29,29.43424507997776
